ticker,signal,lag,correlation,n_obs
MRNA,wikipedia_views,1,-0.0634,59
MRNA,wikipedia_views,2,-0.1454,58
MRNA,wikipedia_views,3,-0.2396,57
MRNA,google_trends,-3,-0.0728,57
MRNA,google_trends,-2,0.0456,58
MRNA,google_trends,-1,-0.1369,59
MRNA,google_trends,0,-0.238,60
MRNA,google_trends,1,-0.1338,59
MRNA,google_trends,2,-0.2411,58
MRNA,google_trends,3,-0.2397,57
NVAX,wikipedia_views,-3,0.2841,57
NVAX,wikipedia_views,-2,0.0817,58
NVAX,wikipedia_views,-1,0.1164,59
NVAX,wikipedia_views,0,-0.122,60
NVAX,wikipedia_views,1,-0.0274,59
NVAX,wikipedia_views,2,-0.1797,58
NVAX,wikipedia_views,3,-0.1375,57
NVAX,google_trends,-3,0.1713,57
NVAX,google_trends,-2,0.3099,58
NVAX,google_trends,-1,0.4676,59
NVAX,google_trends,0,0.2232,60
NVAX,google_trends,1,-0.1832,59
NVAX,google_trends,2,0.0502,58
NVAX,google_trends,3,-0.3008,57
IONQ,wikipedia_views,-3,0.1344,57
IONQ,wikipedia_views,-2,0.321,58
IONQ,wikipedia_views,-1,0.5337,59
IONQ,wikipedia_views,0,0.4038,60
IONQ,wikipedia_views,1,0.0296,59
IONQ,wikipedia_views,2,-0.0798,58
IONQ,wikipedia_views,3,-0.1849,57
IONQ,google_trends,-3,0.1896,57
IONQ,google_trends,-2,0.2993,58
IONQ,google_trends,-1,0.468,59
IONQ,google_trends,0,0.3878,60
IONQ,google_trends,1,-0.0554,59
IONQ,google_trends,2,-0.0904,58
IONQ,google_trends,3,-0.0876,57
QBTS,wikipedia_views,-3,0.0315,57
QBTS,wikipedia_views,-2,0.3009,58
QBTS,wikipedia_views,-1,0.4548,59
QBTS,wikipedia_views,0,0.4787,60
QBTS,wikipedia_views,1,-0.0583,59
QBTS,wikipedia_views,2,-0.2404,58
QBTS,wikipedia_views,3,-0.1606,57
QBTS,google_trends,-3,0.0935,57
QBTS,google_trends,-2,0.222,58
QBTS,google_trends,-1,0.5365,59
QBTS,google_trends,0,0.4551,60
QBTS,google_trends,1,-0.0573,59
QBTS,google_trends,2,-0.2105,58
QBTS,google_trends,3,-0.1664,57
RGTI,wikipedia_views,-3,0.09,57
RGTI,wikipedia_views,-2,0.254,58
RGTI,wikipedia_views,-1,0.4506,59
RGTI,wikipedia_views,0,0.4351,60
RGTI,wikipedia_views,1,-0.0458,59
RGTI,wikipedia_views,2,-0.2088,58
RGTI,wikipedia_views,3,-0.1235,57
RGTI,google_trends,-3,0.1056,57
RGTI,google_trends,-2,0.2077,58
RGTI,google_trends,-1,0.482,59
RGTI,google_trends,0,0.4256,60
RGTI,google_trends,1,-0.0541,59
RGTI,google_trends,2,-0.207,58
RGTI,google_trends,3,-0.1101,57
XOM,wikipedia_views,-3,0.0657,57
XOM,wikipedia_views,-2,0.0042,58
XOM,wikipedia_views,-1,-0.0666,59
XOM,wikipedia_views,0,0.0768,60
XOM,wikipedia_views,1,0.0858,59
XOM,wikipedia_views,2,0.1048,58
XOM,wikipedia_views,3,-0.034,57
XOM,google_trends,-3,0.0123,57
XOM,google_trends,-2,0.1181,58
XOM,google_trends,-1,0.0711,59
XOM,google_trends,0,-0.1227,60
XOM,google_trends,1,-0.0271,59
XOM,google_trends,2,-0.0833,58
XOM,google_trends,3,-0.2067,57
CVX,wikipedia_views,-3,-0.0826,57
CVX,wikipedia_views,-2,-0.1094,58
CVX,wikipedia_views,-1,0.0326,59
CVX,wikipedia_views,0,0.0279,60
CVX,wikipedia_views,1,-0.0293,59
CVX,wikipedia_views,2,0.0475,58
CVX,wikipedia_views,3,-0.0694,57
CVX,google_trends,-3,-0.035,57
CVX,google_trends,-2,-0.0052,58
CVX,google_trends,-1,0.0475,59
CVX,google_trends,0,-0.1386,60
CVX,google_trends,1,0.0165,59
CVX,google_trends,2,0.2123,58
CVX,google_trends,3,0.1075,57
FSLR,wikipedia_views,-3,0.0579,57
FSLR,wikipedia_views,-2,-0.0983,58
FSLR,wikipedia_views,-1,-0.2202,59
FSLR,wikipedia_views,0,0.1345,60
FSLR,wikipedia_views,1,-0.3156,59
FSLR,wikipedia_views,2,-0.2369,58
FSLR,wikipedia_views,3,0.0556,57
FSLR,google_trends,-3,0.295,57
FSLR,google_trends,-2,0.2702,58
FSLR,google_trends,-1,-0.0116,59
FSLR,google_trends,0,0.1323,60
FSLR,google_trends,1,0.0319,59
FSLR,google_trends,2,-0.0318,58
FSLR,google_trends,3,0.0784,57
